,puma,wagp,agep,sex,serialno,pwgtp,st
207,00106,0075000,67,1,111319,00063,06
208,00106,0000000,66,2,111319,00059,06
209,00106,0000000,71,1,1115338,00037,06
210,00106,0000000,69,2,1115338,00035,06
211,00106,0000000,67,2,1116573,00059,06
212,00106,0109000,65,1,1116573,00050,06
213,00106,,14,1,1118583,00144,06
214,00106,0032600,49,2,1118583,00107,06
215,00106,0007000,19,1,1118583,00100,06
216,00106,0078000,56,1,1123222,00111,06
217,00106,0030000,21,1,1123222,00109,06
218,00106,0000000,18,1,1123222,00089,06
219,00106,0013000,19,1,1123222,00090,06
220,00106,0004000,54,2,1123222,00094,06
221,00106,0032000,25,2,1123222,00157,06
222,00106,,13,1,1123222,00107,06
223,00106,0000000,16,1,1123222,00089,06
224,00106,0050000,33,1,1125490,00073,06
225,00106,0000000,40,1,1125968,00056,06
226,00106,0083000,39,2,1125968,00054,06
227,00106,,12,1,1125968,00045,06
228,00106,,10,1,1125968,00046,06
229,00106,,07,2,1125968,00067,06
230,00106,0045000,53,1,112680,00139,06
231,00106,0050000,50,2,112680,00134,06
232,00106,0060000,35,2,1126839,00055,06
233,00106,,07,2,1126839,00061,06
234,00106,,07,2,1128979,00189,06
235,00106,0020000,42,2,1128979,00319,06
236,00106,,11,1,1128979,00245,06
237,00106,0092000,69,2,1129474,00099,06
238,00106,0100000,35,1,1130136,00066,06
239,00106,0000000,86,2,113182,00118,06
240,00106,0042000,49,2,1132122,00065,06
241,00106,0032000,47,1,1132122,00059,06
242,00106,0050000,53,1,1132899,00061,06
243,00106,0000000,53,2,1132899,00056,06
244,00106,0000000,75,1,1132912,00110,06
245,00106,0036700,74,2,1132912,00110,06
246,00106,0000000,76,1,1133561,00078,06
247,00106,0000000,17,2,1136099,00058,06
248,00106,0024000,49,2,1136099,00065,06
249,00106,0000000,68,2,1136899,00058,06
250,00106,0078000,66,1,1136899,00061,06
251,00106,0036000,35,2,1138304,00154,06
252,00106,0037000,25,1,113885,00092,06
253,00106,,00,2,113885,00068,06
254,00106,0058000,26,2,113885,00055,06
255,00106,0025000,26,2,1139977,00117,06
