,veh,puma,np,serialno,fincp,wgtp
311,,00106,01,1436762,,00000
312,1,00106,01,1437494,,00088
313,2,00106,02,1437518,000090000,00106
314,2,00106,02,1438202,,00080
315,1,00106,01,1438653,,00063
316,4,00106,04,1439188,000187410,00097
317,0,00106,01,1439601,,00173
318,2,00106,03,1439913,000019000,00203
319,2,00106,02,1441544,000124600,00105
320,2,00106,02,1441545,000072200,00040
321,2,00106,01,1442151,,00052
322,3,00106,04,1445192,000116900,00039
323,3,00106,04,1446837,000064700,00062
324,,00106,01,1446855,,00000
325,2,00106,01,1447036,,00100
326,1,00106,01,1447166,,00127
327,3,00106,03,1448219,000061000,00078
328,2,00106,03,1448575,000036000,00076
329,2,00106,04,1450401,000132000,00114
330,,00106,00,1451298,,00063
331,4,00106,02,1452055,000153360,00064
332,1,00106,04,1454027,000014000,00184
333,,00106,00,1454304,,00180
334,0,00106,01,1455568,,00067
335,,00106,01,146009,,00000
336,1,00106,02,1460790,000046000,00093
337,1,00106,01,1461055,,00115
338,5,00106,05,1468223,000167000,00102
339,,00106,01,1468328,,00000
340,0,00106,01,1469114,,00080
341,1,00106,03,1470217,000054000,00071
342,2,00106,02,1470996,,00102
343,,00106,01,1471079,,00000
344,4,00106,04,1471404,000543000,00095
345,1,00106,01,1472552,,00037
346,2,00106,04,1472671,000062800,00069
347,,00106,01,1473461,,00000
348,2,00106,02,1477085,000090000,00083
349,1,00106,01,1479566,,00106
350,2,00106,02,148071,000118000,00067
351,2,00106,06,1480723,000220000,00231
352,2,00106,02,1481414,000062180,00054
353,2,00106,02,1486574,,00097
354,1,00106,01,1486928,,00066
355,1,00106,02,1489103,000023000,00065
356,2,00106,01,1489603,,00142
357,5,00106,03,1494372,000293500,00106
358,1,00106,01,1498853,,00385
359,2,00106,03,1499453,000051600,00168
360,,00106,01,1499485,,00000
361,2,00106,03,149985,000118100,00068
362,1,00106,01,1499869,,00121
363,4,00106,05,1500319,000157000,00157
364,2,00106,05,1502527,000082600,00061
365,2,00106,02,150533,000106000,00060
366,3,00106,02,150716,000108000,00138
367,1,00106,01,1507304,,00137
368,0,00106,05,1508584,000018000,00054
369,2,00106,02,151075,,00087
370,1,00106,01,1512401,,00230
371,1,00106,02,153495,000136500,00095
372,3,00106,04,154104,000128200,00037
373,1,00106,02,154521,000045000,00243
374,1,00106,01,156912,,00093
375,1,00106,01,158739,,00066
376,3,00106,03,159235,000107000,00063
377,2,00106,05,159251,000300000,00094
378,1,00106,01,159616,,00181
379,1,00106,01,160021,,00058
380,,00106,01,161370,,00000
381,3,00106,03,165704,000190800,00102
382,3,00106,03,166892,000064700,00101
383,2,00106,01,168055,,00059
384,1,00106,01,168068,,00052
385,3,00106,04,168240,000215000,00090
386,,00106,01,169185,,00000
387,1,00106,01,169566,,00334
388,2,00106,02,170687,000034400,00059
389,1,00106,01,170697,,00061
390,1,00106,01,172989,,00182
391,2,00106,03,173604,000123000,00071
392,4,00106,02,174625,000468000,00041
393,1,00106,02,17489,000050000,00037
394,2,00106,02,175821,000067900,00097
395,1,00106,01,17679,,00039
396,2,00106,01,179028,,00042
397,3,00106,05,179035,000274000,00105
398,0,00106,01,17921,,00113
399,2,00106,01,179374,,00066
400,2,00106,03,184211,000009570,00094
401,1,00106,01,187063,,00131
402,1,00106,01,187426,,00052
403,2,00106,02,187822,000077000,00336
404,2,00106,02,188371,000068600,00053
405,2,00106,02,189721,000075400,00067
406,2,00106,07,192145,000061200,00228
407,1,00106,01,192687,,00055
408,0,00106,02,193445,000000000,00053
409,2,00106,01,193454,,00061
410,2,00106,02,193552,000602000,00045
411,,00106,01,195890,,00000
412,3,00106,03,199205,000109800,00066
413,1,00106,02,199495,000085000,00084
414,,00106,01,202024,,00000
415,4,00106,04,20249,000044000,00079
416,,00106,01,202865,,00000
417,2,00106,04,207743,,00070
418,,00106,01,209839,,00000
419,,00106,01,21217,,00000
420,2,00106,02,21307,000141120,00063
421,2,00106,02,21355,000054600,00172
422,1,00106,01,219504,,00186
423,,00106,00,219739,,00095
424,1,00106,01,219807,,00068
425,3,00106,03,219822,000330000,00128
426,,00106,01,220165,,00000
427,2,00106,01,220607,,00207
428,3,00106,04,220725,000094000,00084
429,1,00106,01,224491,,00168
430,,00106,00,225360,,00155
431,,00106,01,225767,,00000
432,2,00106,02,226621,000045500,00075
433,1,00106,03,227968,000048300,00086
434,3,00106,03,228097,000100020,00074
435,,00106,01,229250,,00000
436,4,00106,05,229965,000030000,00074
437,1,00106,01,231183,,00064
438,2,00106,06,231632,000119000,00125
439,2,00106,05,231665,000109700,00060
440,1,00106,01,233948,,00121
441,1,00106,03,234042,000051500,00128
442,1,00106,02,234827,000058600,00071
443,0,00106,01,240077,,00065
444,1,00106,02,245168,000040000,00035
445,1,00106,02,245885,000035000,00078
446,3,00106,02,246306,,00046
447,2,00106,04,246561,000069000,00167
448,3,00106,04,251185,000194000,00101
449,3,00106,04,254625,000160000,00113
450,2,00106,03,254835,000079000,00065
451,2,00106,03,255423,000023700,00050
452,2,00106,02,255711,000100000,00129
453,2,00106,01,257386,,00048
454,2,00106,03,258451,000045000,00132
455,,00106,01,260611,,00000
456,,00106,00,261044,,00313
457,2,00106,01,262238,,00079
458,1,00106,01,263551,,00130
459,1,00106,02,264445,,00071
460,2,00106,03,266750,000083000,00034
461,3,00106,05,267340,000161000,00091
462,2,00106,02,268783,000046000,00063
463,5,00106,04,269424,000361000,00116
464,,00106,01,269491,,00000
465,2,00106,02,271251,000109000,00076
466,2,00106,02,272077,,00123
467,1,00106,01,273116,,00085
468,1,00106,01,27462,,00064
469,2,00106,04,27675,000124000,00081
470,,00106,01,280537,,00000
471,1,00106,01,28055,,00062
472,6,00106,06,280949,000128400,00080
473,,00106,01,283546,,00000
474,1,00106,01,284838,,00325
475,2,00106,05,28508,000116700,00040
476,,00106,01,285106,,00000
477,1,00106,03,285587,000052020,00160
478,2,00106,02,285910,000128200,00042
479,1,00106,01,287481,,00055
480,0,00106,01,287687,,00053
481,,00106,01,288012,,00000
482,2,00106,02,28809,,00047
483,1,00106,01,288260,,00069
484,3,00106,03,288731,000103000,00079
485,1,00106,02,289566,000006280,00166
486,1,00106,02,290115,000090700,00076
487,1,00106,02,290803,000045700,00041
488,2,00106,03,291508,000084000,00109
489,2,00106,02,293403,,00067
490,2,00106,03,297138,000220800,00233
491,3,00106,03,299432,000101000,00053
492,,00106,01,299997,,00000
493,1,00106,03,30055,000132100,00093
494,,00106,01,301830,,00000
495,2,00106,06,302507,000109100,00125
496,,00106,01,303947,,00000
497,3,00106,02,30519,000126800,00109
498,,00106,01,306502,,00000
499,2,00106,02,307785,,00117
500,1,00106,04,308589,000002400,00218
501,3,00106,03,30944,000113800,00065
502,2,00106,03,310102,000059100,00114
503,2,00106,02,310977,,00087
504,1,00106,01,31133,,00064
505,1,00106,02,315057,000060200,00061
506,,00106,00,317134,,00170
507,3,00106,02,319367,000378000,00107
508,,00106,01,319687,,00000
509,,00106,01,320340,,00000
510,2,00106,02,320424,000227120,00052
511,2,00106,03,321069,000030700,00035
512,1,00106,03,321138,000042000,00056
513,3,00106,03,322013,,00171
514,3,00106,02,32379,000091500,00102
515,1,00106,01,324485,,00058
516,0,00106,01,324674,,00089
517,4,00106,03,327564,000053700,00140
518,1,00106,01,327599,,00103
519,1,00106,01,328587,,00090
520,2,00106,03,328705,000133100,00146
521,1,00106,01,329316,,00065
522,2,00106,03,329820,000000000,00193
523,4,00106,02,330102,000031400,00092
524,3,00106,03,33215,,00180
525,2,00106,02,332994,000130000,00070
526,3,00106,05,334070,000072000,00069
527,2,00106,03,334232,000070000,00074
528,1,00106,01,334278,,00061
529,2,00106,02,335319,000146700,00105
530,2,00106,02,335717,000016900,00075
531,3,00106,02,338334,000089000,00071
532,4,00106,07,339826,000061700,00060
533,,00106,01,339957,,00000
534,2,00106,04,340263,000160800,00043
535,2,00106,02,341565,000100000,00068
536,2,00106,04,343357,000087000,00071
537,2,00106,02,346491,000065000,00062
538,3,00106,02,346937,000049500,00072
539,1,00106,03,347434,000178000,00090
540,2,00106,01,350792,,00136
541,1,00106,02,350977,000013100,00102
542,5,00106,03,352548,000095830,00078
543,2,00106,02,352792,,00059
544,1,00106,03,354801,000012000,00076
545,3,00106,03,355347,000266000,00081
546,1,00106,01,35583,,00101
547,3,00106,03,356062,000150500,00064
548,2,00106,02,358083,,00105
549,2,00106,01,358279,,00145
550,2,00106,02,358701,000141000,00165
551,1,00106,02,364324,000042700,00090
552,3,00106,02,367273,000055100,00043
553,1,00106,02,368237,000018110,00189
554,1,00106,01,36856,,00079
555,3,00106,02,369084,,00058
556,1,00106,01,373745,,00087
557,2,00106,05,376331,000142000,00039
558,3,00106,04,376584,000077000,00138
559,3,00106,03,377866,000171600,00062
560,1,00106,02,378326,000049000,00089
561,2,00106,02,378619,000111001,00070
562,2,00106,02,379332,000099000,00042
563,2,00106,03,380564,000128220,00068
564,1,00106,03,381266,000161800,00056
565,1,00106,01,382254,,00057
566,1,00106,02,382616,000009600,00245
567,,00106,01,38307,,00000
568,1,00106,03,38347,,00086
569,2,00106,04,388473,000128000,00058
570,2,00106,04,391102,000107000,00111
571,2,00106,02,392326,000148200,00104
572,2,00106,03,394750,000145150,00097
573,1,00106,01,39506,,00074
574,2,00106,03,395572,000096000,00037
575,2,00106,04,395685,000109000,00056
576,2,00106,06,396639,000030000,00190
577,2,00106,02,397985,000169000,00121
578,3,00106,05,398806,000061800,00185
579,2,00106,02,400979,000220800,00107
580,,00106,01,401350,,00000
581,2,00106,02,401384,,00146
582,1,00106,02,402620,000043500,00185
583,3,00106,01,402817,,00053
584,3,00106,02,40434,000056500,00058
585,5,00106,04,405436,000192850,00117
586,1,00106,01,405841,,00093
587,2,00106,02,406657,000060000,00098
588,2,00106,02,412436,000049000,00065
589,2,00106,04,412832,000025000,00123
590,3,00106,03,413728,000140000,00499
591,2,00106,02,414617,000033730,00120
592,3,00106,05,414699,000052000,00223
593,1,00106,01,415451,,00069
594,2,00106,03,417057,000200000,00088
595,4,00106,03,419893,000540100,00072
596,3,00106,02,420430,000158000,00033
597,2,00106,02,421367,000046800,00056
598,2,00106,04,421680,000087000,00276
599,1,00106,01,422135,,00068
600,4,00106,04,422224,000091600,00117
601,1,00106,02,424188,000040000,00088
602,2,00106,03,426028,000250500,00190
603,1,00106,01,426366,,00128
604,4,00106,03,426461,000154500,00127
605,1,00106,04,42697,000028200,00227
606,2,00106,04,427950,000280020,00072
607,1,00106,01,42848,,00076
608,2,00106,03,432207,000053800,00074
609,2,00106,02,432794,,00060
610,2,00106,02,434156,000109600,00133
611,3,00106,04,435126,000134000,00115
612,6,00106,03,435459,000082500,00060
613,1,00106,02,435953,000006000,00176
614,1,00106,02,437300,000052000,00226
615,1,00106,01,439106,,00060
616,1,00106,03,439870,000039500,00097
617,2,00106,04,442354,000170000,00085
618,2,00106,02,4431,000049400,00060
619,2,00106,01,444016,,00065
620,,00106,01,444677,,00000
621,1,00106,02,447263,000036000,00100
622,1,00106,01,447792,,00053
623,,00106,01,447922,,00000
624,4,00106,03,450354,000122000,00130
625,1,00106,01,452021,,00053
626,2,00106,02,452711,000048800,00101
627,1,00106,05,453371,000031200,00042
628,2,00106,02,45653,,00145
629,2,00106,03,456548,000110000,00063
630,1,00106,02,459661,000023530,00070
631,2,00106,03,459887,000028360,00338
632,,00106,00,460527,,00180
633,0,00106,01,462270,,00085
634,4,00106,05,465691,000124200,00112
635,2,00106,02,46779,000095000,00046
636,5,00106,04,470659,000054004,00072
637,2,00106,04,471518,000190000,00072
638,2,00106,04,473122,000387000,00067
639,2,00106,06,47329,000032000,00117
640,,00106,00,473371,,00092
641,0,00106,01,473939,,00064
642,2,00106,05,474023,000096400,00078
643,,00106,01,476663,,00000
644,1,00106,01,476712,,00051
645,6,00106,05,47692,000023300,00070
646,2,00106,02,480063,,00091
647,2,00106,03,480579,000108900,00066
648,1,00106,02,480716,,00105
649,1,00106,03,481201,000089200,00212
650,1,00106,01,481651,,00133
651,,00106,01,484506,,00000
652,2,00106,07,486769,000063800,00076
653,,00106,01,487130,,00000
654,1,00106,02,487397,000064600,00064
655,2,00106,03,488074,000075000,00051
656,1,00106,02,488694,000100000,00187
657,3,00106,03,492150,,00087
658,2,00106,03,492516,000069200,00084
659,4,00106,03,493417,000188200,00067
660,1,00106,01,493831,,00055
661,1,00106,05,495311,000016700,00177
662,2,00106,01,496944,,00113
663,2,00106,04,497561,000160000,00223
664,0,00106,01,497852,,00064
665,0,00106,01,498448,,00233
666,2,00106,03,499676,000174000,00145
667,3,00106,02,502108,000061000,00072
668,1,00106,01,504639,,00061
669,1,00106,01,506532,,00091
670,1,00106,01,50910,,00208
671,2,00106,03,509936,000090000,00068
672,2,00106,02,510103,000062000,00029
673,2,00106,03,511218,000113000,00093
674,5,00106,05,511272,000051000,00064
675,1,00106,01,511671,,00063
676,1,00106,02,511747,000091040,00315
677,1,00106,01,512416,,00065
678,2,00106,02,51255,000120000,00034
679,2,00106,02,515043,000065000,00134
680,1,00106,05,515405,000004800,00108
681,2,00106,03,515782,000090000,00068
682,1,00106,01,516134,,00201
683,1,00106,01,516952,,00061
684,1,00106,01,519746,,00057
685,4,00106,02,519870,000009060,00101
686,2,00106,04,52180,000135601,00101
687,3,00106,04,522247,000165000,00064
688,1,00106,01,522821,,00057
689,3,00106,02,525456,,00083
690,2,00106,02,526172,000086000,00069
691,,00106,01,530669,,00000
692,3,00106,01,530992,,00076
693,2,00106,02,531209,000009600,00054
694,3,00106,03,531566,000090600,00080
695,3,00106,02,532412,,00082
696,,00106,01,536997,,00000
697,1,00106,01,537240,,00060
